bmUnit,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_GYMRD-E11,GyM OSPE est Dem 11,,T,P
T_GYMRD-W10,GyM OSPW non est Dem 10,,T,P
T_GYMRD-W11,GyM OSPW est Dem 11,,T,P
T_GYMR-15,GyM OSPE 15,WIND,T,P
T_GYMR-17,GyM OSPE 17,WIND,T,P
T_GYMR-26,GyM OSPW 26,WIND,T,P
T_GYMR-28,GyM OSPW 28,WIND,T,P
T_HADHW-1,Hadyard Hill Wind Farm,WIND,T,P
T_HAGHW-2,Hagshaw Repower 2,,T,P
T_HAHAW-1,Hagshaw Repower 1,WIND,T,P
T_HALSW-1,Halsary Windfarm,WIND,T,P
T_HEYM11,Heysham 1 Generator 1,NUCLEAR,T,P
T_HEYM12,Heysham 1 Generator 2,NUCLEAR,T,P
T_HEYM27,Heysham 2 Generator 7,NUCLEAR,T,P
T_HEYM28,Heysham 2 Generator 8,NUCLEAR,T,P
T_HEYM2-D,Heysham 2 Station Demand,,T,P
T_HIRWN-1,Hirwaun 1,OCGT,T,P
T_HMGTO-1,Humber Offshore Wind Farm BMU1,WIND,T,P
T_HMGTO-2,Humber Offshore Wind Farm BMU2,WIND,T,P
T_HOWAO-1,HORNSEA_1A,WIND,T,P
T_HOWAO-2,HORNSEA_1B,WIND,T,P
T_HOWAO-3,HORNSEA_1C,WIND,T,P
T_HOWBO-1,HORNSEA_WF_2A,WIND,T,P
T_HOWBO-2,HORNSEA_WF_2B,WIND,T,P
T_HOWBO-3,HORNSEA_WF_2C,WIND,T,P
T_HRSTW-1,Harestanes,WIND,T,P
T_HRTL-1,Hartlepool Generator 1,NUCLEAR,T,P
T_HRTL-2,Hartlepool Generator 2,NUCLEAR,T,P
T_HUMR-1,HUMR-1,CCGT,T,P
T_HUMR-2,HUMR-2,,T,P
T_HUMRD-1,HUMRD-1,,T,P
T_HUNB-7,Hunterston B Generator 7,NUCLEAR,T,P
T_HUNB-8,Hunterston B Generator 8,NUCLEAR,T,P
T_INDQ-1,Gas Turbine,OCGT,T,P
T_IRNAB-1,Iron Acton,OTHER,T,P
T_JGPR-1,High Marnham JGPEARS,BIOMASS,T,P
T_KEAD-1,KGL CCGT 1,CCGT,T,P
T_KEAD-2,Keadby-2 Main,CCGT,T,P
T_KEADGT-3,KGL GT 3,OCGT,T,P
T_KENNW-1,Kennoxhead Wind Farm,WIND,T,P
T_KILBW-1,KILBW,WIND,T,P
T_KILLPG-1,T_KILLPG-1,CCGT,T,P
T_KILLPG-2,T_KILLPG-2,CCGT,T,P
T_KLGLW-1,Kilgallioch Windfarm,WIND,T,P
T_KLGLW-2,T_KLGLW-2,,T,P
T_KPMRW-1,KYPE MUIR WIND FARM,WIND,T,P
T_KTHLW-1,KEITH HILL WINDFARM,WIND,T,P
T_KYPEW-1,KYPE MUIR EXT WIND FARM,WIND,T,P
